group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,993700.0,ns,93
fib 20,,,,,1990000.0,ns,186
fib 20,,,,,2981100.0,ns,279
fib 20,,,,,3974700.0,ns,372
fib 20,,,,,4955800.0,ns,465
fib 20,,,,,5954200.0,ns,558
fib 20,,,,,7028400.0,ns,651
fib 20,,,,,7945400.0,ns,744
fib 20,,,,,8883600.0,ns,837
fib 20,,,,,9858400.0,ns,930
fib 20,,,,,10815500.0,ns,1023
fib 20,,,,,11806800.0,ns,1116
fib 20,,,,,12756700.0,ns,1209
fib 20,,,,,13664300.0,ns,1302
fib 20,,,,,14617600.0,ns,1395
fib 20,,,,,15547000.0,ns,1488
fib 20,,,,,16511700.0,ns,1581
fib 20,,,,,17520700.0,ns,1674
fib 20,,,,,18479200.0,ns,1767
fib 20,,,,,19424600.0,ns,1860
fib 20,,,,,20399200.0,ns,1953
fib 20,,,,,21490200.0,ns,2046
fib 20,,,,,22348300.0,ns,2139
fib 20,,,,,23313500.0,ns,2232
fib 20,,,,,24597700.0,ns,2325
fib 20,,,,,36840700.0,ns,2418
fib 20,,,,,27249400.0,ns,2511
fib 20,,,,,27986800.0,ns,2604
fib 20,,,,,28886400.0,ns,2697
fib 20,,,,,30847100.0,ns,2790
fib 20,,,,,31322300.0,ns,2883
fib 20,,,,,31971200.0,ns,2976
fib 20,,,,,32815100.0,ns,3069
fib 20,,,,,33993000.0,ns,3162
fib 20,,,,,35465000.0,ns,3255
fib 20,,,,,36026600.0,ns,3348
fib 20,,,,,36646000.0,ns,3441
fib 20,,,,,38124500.0,ns,3534
fib 20,,,,,39494400.0,ns,3627
fib 20,,,,,40260200.0,ns,3720
fib 20,,,,,40685900.0,ns,3813
fib 20,,,,,41595500.0,ns,3906
fib 20,,,,,44033100.0,ns,3999
fib 20,,,,,45170000.0,ns,4092
fib 20,,,,,45983300.0,ns,4185
fib 20,,,,,46333300.0,ns,4278
fib 20,,,,,46554300.0,ns,4371
fib 20,,,,,46924200.0,ns,4464
fib 20,,,,,49839700.0,ns,4557
fib 20,,,,,49935800.0,ns,4650
fib 20,,,,,50209900.0,ns,4743
fib 20,,,,,50649800.0,ns,4836
fib 20,,,,,50985500.0,ns,4929
fib 20,,,,,51894400.0,ns,5022
fib 20,,,,,54981800.0,ns,5115
fib 20,,,,,56682900.0,ns,5208
fib 20,,,,,56761000.0,ns,5301
fib 20,,,,,57099000.0,ns,5394
fib 20,,,,,57695800.0,ns,5487
fib 20,,,,,60953400.0,ns,5580
fib 20,,,,,60802800.0,ns,5673
fib 20,,,,,60951300.0,ns,5766
fib 20,,,,,63914600.0,ns,5859
fib 20,,,,,64502000.0,ns,5952
fib 20,,,,,64072900.0,ns,6045
fib 20,,,,,64506400.0,ns,6138
fib 20,,,,,65166700.0,ns,6231
fib 20,,,,,66193900.0,ns,6324
fib 20,,,,,67207500.0,ns,6417
fib 20,,,,,68385300.0,ns,6510
fib 20,,,,,69335000.0,ns,6603
fib 20,,,,,72657500.0,ns,6696
fib 20,,,,,72433300.0,ns,6789
fib 20,,,,,72397000.0,ns,6882
fib 20,,,,,72942200.0,ns,6975
fib 20,,,,,73622400.0,ns,7068
fib 20,,,,,74574100.0,ns,7161
fib 20,,,,,75512600.0,ns,7254
fib 20,,,,,76432400.0,ns,7347
fib 20,,,,,80010500.0,ns,7440
fib 20,,,,,81139400.0,ns,7533
fib 20,,,,,82096200.0,ns,7626
fib 20,,,,,84079700.0,ns,7719
fib 20,,,,,83618200.0,ns,7812
fib 20,,,,,85684800.0,ns,7905
fib 20,,,,,86048800.0,ns,7998
fib 20,,,,,87153100.0,ns,8091
fib 20,,,,,88368800.0,ns,8184
fib 20,,,,,87634700.0,ns,8277
fib 20,,,,,89389700.0,ns,8370
fib 20,,,,,90881200.0,ns,8463
fib 20,,,,,90208800.0,ns,8556
fib 20,,,,,90849400.0,ns,8649
fib 20,,,,,91869900.0,ns,8742
fib 20,,,,,92785000.0,ns,8835
fib 20,,,,,93907400.0,ns,8928
fib 20,,,,,94831000.0,ns,9021
fib 20,,,,,95800200.0,ns,9114
fib 20,,,,,96785900.0,ns,9207
fib 20,,,,,97828400.0,ns,9300
